variable,wind_speed,wind_speed,pressure,temperature,roughness_length
height,10,100,0,2,0
time,,,,,
2015-01-04 16:00:00+00:00,3.2808025,6.65396,100616.73,290.44275,0.09021127
2015-01-04 17:00:00+00:00,3.1740851,5.8943906,100638.54,289.9857,0.09020864
2015-01-04 18:00:00+00:00,2.9446375,5.0478992,100731.99,290.72308,0.09020864
2015-01-04 19:00:00+00:00,2.6898563,4.311182,100829.984,291.54565,0.09020864
2015-01-04 20:00:00+00:00,2.5420713,3.5344071,100910.48,295.164,0.09020601
2015-01-04 21:00:00+00:00,2.221031,3.1051178,100940.93,295.92786,0.09020601
2015-01-04 22:00:00+00:00,1.9108322,2.6613762,100946.41,296.9145,0.09020601
2015-01-04 23:00:00+00:00,3.0843115,3.8653557,100947.25,296.65085,0.09020864
2015-01-05 00:00:00+00:00,4.6699004,5.997542,100977.59,296.2669,0.09022178
2015-01-05 01:00:00+00:00,5.6398425,7.304288,101021.63,295.84152,0.09022966
2015-01-05 02:00:00+00:00,5.8544765,7.514515,101057.77,295.32117,0.090234905
2015-01-05 03:00:00+00:00,6.09944,7.8016024,101050.82,295.2918,0.09024542
2015-01-05 04:00:00+00:00,5.60098,7.0384145,101058.83,294.8923,0.090240166
2015-01-05 05:00:00+00:00,4.7785482,6.0991364,101068.734,293.48895,0.0902244
2015-01-05 06:00:00+00:00,4.121098,5.193265,101095.18,292.97375,0.09021652
2015-01-05 07:00:00+00:00,3.6429756,4.5362644,101149.016,292.42462,0.09021127
2015-01-05 08:00:00+00:00,3.0670555,3.9189248,101196.12,290.9303,0.09020864
2015-01-05 09:00:00+00:00,2.5090644,3.3441541,101238.26,290.6068,0.09020601
2015-01-05 10:00:00+00:00,2.5136847,3.1786726,101281.984,290.01276,0.09020601
2015-01-05 11:00:00+00:00,2.6496677,3.5879035,101239.52,289.7756,0.09020601
2015-01-05 12:00:00+00:00,2.8042533,3.7156532,101180.734,289.51022,0.09020864
2015-01-05 13:00:00+00:00,2.60581,3.4564373,101159.13,289.31625,0.09020601
2015-01-05 14:00:00+00:00,2.757906,3.7630665,101130.9,288.73544,0.09020864
2015-01-05 15:00:00+00:00,2.6106744,3.7123108,101142.17,288.4269,0.09020864
2015-01-05 16:00:00+00:00,2.3939204,3.1886346,101155.234,288.45743,0.09020864
2015-01-05 17:00:00+00:00,2.1108375,2.7869756,101181.68,288.4672,0.09020864
2015-01-05 18:00:00+00:00,2.211315,2.6166584,101236.05,288.5576,0.09021127
2015-01-05 19:00:00+00:00,2.2827346,2.610934,101278.83,288.84943,0.09021127
2015-01-05 20:00:00+00:00,2.097599,2.3223352,101302.74,290.29077,0.09020864
